,fwd_rtn_1_real,fwd_rtn_5_real,fwd_rtn_10_real,fwd_rtn_20_real,fwd_rtn_50_real,fwd_rtn_10_abs
PPOs_12_26_9,-0.01653733332739918,-0.03380185139429782,-0.055478730975369095,-0.08233716118570374,-0.09469548805207027,-0.011623876012238089
BULLP_13,-0.043546040116175154,-0.10333664702316392,-0.12771666466868264,-0.13745938305739475,-0.12680075846222574,-0.008336478774054707
OHLC4,-0.036872722166042766,-0.07934066696629921,-0.10840480298132853,-0.14794094519145676,-0.22050017205450018,-0.0018431792763987922
STOCHk_14_3_3,-0.041995165713035354,-0.0882788805842237,-0.10948379957511467,-0.1164874424625182,-0.10424891432208029,-0.01669644658722715
VTXM_14,0.034808543978284895,0.0762681033277347,0.10265698876896699,0.12015141497172385,0.11405390330329314,0.005316140265218692
ITS_9,-0.03137195182763225,-0.06827395204415662,-0.09595387588397376,-0.1357873763441988,-0.21017778353531993,-9.793900759797913e-05
SQZ_OFF,0.002492028583444221,0.003979153513586324,0.00585936335177679,0.008507229544928243,0.011449436588566692,-0.0007191704599190959
PDIST,0.0041948745619558,0.004966532864956225,0.0009940591903875823,-0.005102171557546161,-0.016831724988066687,0.05840252316978924
KURT_30,0.0012666691035669905,-0.00042635440107399036,-0.002907252336275662,-0.008129556438071936,-0.007204432093390756,0.025494833165985033
VWMA_10,-0.03171574806849379,-0.06868064654337355,-0.09659735546110017,-0.13678094762440407,-0.21139688612207902,8.101320833367201e-05
MACDs_12_26_9,-0.019582782832219436,-0.040785199900397424,-0.06345342539217669,-0.09001872566074119,-0.1078755024502832,-0.010599793800904674
RMA_10,-0.030323387411268075,-0.06530637792880721,-0.0910415462220124,-0.12916390091693808,-0.20370360330322318,0.0007406569311584
D_9_3,-0.033761141595842925,-0.07027651016245252,-0.09376650995824068,-0.10633591531826067,-0.09815940847113067,-0.014522188984128586
SQZ_20_2.0_20_1.5,-0.027944732376387237,-0.05825868781865764,-0.08783613791744048,-0.11281913784398379,-0.11249792107920661,-0.014736405541439746
ZS_30,-0.04860457562776233,-0.10856995397577887,-0.13263691181551576,-0.1453249116386304,-0.13569773122370646,-0.019788115205560886
VHF_28,0.0031336789163559876,0.006274624599315289,0.007183252463099039,0.008010906046576073,0.011038131879157795,-0.0014011974292828281
WMA_10,-0.032685684173891776,-0.0700656754732364,-0.09820174569580707,-0.13841931952620176,-0.21273312389435567,-0.00045353428557582445
PCTRET_1,-0.03660567982029389,-0.0937893273716213,-0.08339430031444608,-0.06603323119671436,-0.04857506251020213,-0.011952382189473934
PVOs_12_26_9,0.0005063315347682277,-0.0017079512127642566,-0.004163356531005496,-0.007547103216474286,-0.010894667159168136,0.07896567718601279
ATRr_14_B_BIAS_SMA_26,-0.027531748675082183,-0.06023617348654308,-0.07351385315446038,-0.07971705838535968,-0.07007673040975888,0.004497309355444476
PPOh_12_26_9,-0.018246728622252146,-0.038731767586414785,-0.05746775340608621,-0.06930700345406568,-0.0627562511640277,-0.008657889121707592
KSTs_9,-0.013352833944732707,-0.027283726185836226,-0.04345976654177049,-0.06607342036029436,-0.08288159325301692,-0.009471254341219664
PSL_12,-0.03370613775880047,-0.0702234682893348,-0.08275288108766007,-0.08656999913549392,-0.0767495325627088,-0.012620573519201575
PVOh_12_26_9,0.006734697838712226,0.0071324830731612,0.0037848218035859155,-0.00023172836927507433,-0.0038140138838579146,0.07536899787745967
QS_10,-0.044977196694532796,-0.09971321167298443,-0.12225578180367971,-0.13085736491328348,-0.11651349711443215,-0.018520872521998945
COPC_11_14_10,-0.028351626528472007,-0.059718626104658425,-0.0895559589200059,-0.11576036190670001,-0.11715554171793752,-0.016456429987023364
high_Z_30_1,-0.038966265561690555,-0.09206282664301524,-0.11948799611175494,-0.13645705711750117,-0.13000226638154144,-0.00886653742790282
ACCBM_20,-0.028418708467913327,-0.06170080751102603,-0.08646150445433377,-0.12377106639932531,-0.198267907788094,0.0013011509489309694
DEC_1,0.028163353243391847,0.07673038553930847,0.06718182818169102,0.05174018101615641,0.036636460770245044,0.010111839086895388
STOCHRSId_14_14_3_3,-0.027547641089698826,-0.0596255700088187,-0.07500662911169761,-0.07542558668486583,-0.0592957982452724,-0.011342446232606192
TRIX_30_9,-0.010132960331223642,-0.022577227354558648,-0.034377187251505,-0.05303924078630665,-0.08795751870566149,-0.002367313416038857
ER_10,0.0033717175088800702,0.003976763595266974,0.004666049426166185,0.0065989614279176444,0.008040310441916911,0.02462181403750408
TRIXs_30_9,-0.007541820613382947,-0.017605808323596803,-0.026434903013617072,-0.0419943965051446,-0.07774133724259832,-0.0005641341630076236
BIAS_SMA_26,-0.04874347744819952,-0.10682659201257783,-0.13279490520287224,-0.14872420129354522,-0.1409635366024406,-0.022249757028534486
ADX_14,0.005759652809759756,0.011257882169564647,0.013792526350941388,0.01756245416549212,0.02282655365122604,0.01610700144423009
HL2,-0.036614198071782775,-0.07938173585289951,-0.10848916997243414,-0.14800915833430262,-0.22050915668565804,-0.0018966333332094618
THERMO_20_2_0.5,0.0037418320590096154,0.005353172467715703,0.0036613485732454264,-0.00012204430879172212,-0.00819004129704978,0.0512055212783825
ISB_26,-0.021251368202705578,-0.047429945184126375,-0.06634195733558527,-0.09605085029837034,-0.15834258080370625,0.004846217201406565
STDEV_30,-0.00041165467995729664,0.0001191322390462847,0.00018292011325697958,-0.00019303373340344643,-0.005891556614012244,-0.021504846431841942
KCBe_20_2,-0.030375832986870573,-0.06554144508410874,-0.09156878991053721,-0.12974925756794198,-0.2042036415229718,0.0007572580530723561
IKS_26,-0.028408695806006416,-0.06251828987403024,-0.08728991808247522,-0.12420831148520137,-0.19808189505177778,0.0019988719891735197
SLOPE_1,-0.03665116230266275,-0.09362982668101885,-0.08335188552591015,-0.06602061261862643,-0.048487084687447425,-0.011329797612513886
PWMA_10,-0.028975581902677548,-0.06262139310257851,-0.08975359902017244,-0.12997895285382496,-0.20509925105829235,0.00036547543056091774
PPO_12_26_9,-0.022522537155427253,-0.04637417020954144,-0.07264338441964875,-0.10070444508584772,-0.10816746390661909,-0.01403656677208204
AROONU_14,-0.02346939416142368,-0.056807929847444656,-0.07782238937851946,-0.09025140563753309,-0.08279840413481626,0.010102691361007037
MACD_12_26_9,-0.029700765677452105,-0.06305876555696543,-0.09039169255694278,-0.1171050424976169,-0.12785648004235803,-0.014447343268087696
KVO_34_55_13,-0.03680518037638668,-0.08235108483626882,-0.10136599068652127,-0.10916376358446349,-0.08651129517716133,-0.015165019051791406
WCP,-0.03771867977293405,-0.08132597828638578,-0.11023900892000263,-0.14947324175808685,-0.22169235086998818,-0.002131721359272698
MACDh_12_26_9,-0.03713740749319164,-0.08093898677494411,-0.10108864473066495,-0.10593172244345904,-0.0858209237481349,-0.015975530917826254
THERMOs_20_2_0.5,0.0027916594807780386,0.004020181675160872,0.002859691447568099,0.0010596307981782516,-0.0010155114456057454,0.03203002796688035
ISA_9,-0.021685845371627484,-0.04876933171502872,-0.06802353619101514,-0.09798846693769113,-0.16496976927671805,0.004456833490772359
K_9_3,-0.04577006722281806,-0.09634487951056174,-0.11417055888941031,-0.11556443634312928,-0.09977679173963842,-0.01640634620033324
AROONOSC_14,-0.029553110222583005,-0.06762256277263846,-0.09152580979455832,-0.10502970765603553,-0.09628757631147891,-0.013813515700325501
VTXP_14,-0.03647570869850597,-0.07898654404232171,-0.10501527908725194,-0.12090777087107905,-0.1139861799378915,-0.029250628491979524
FWMA_10,-0.03530231945421348,-0.0754937329296028,-0.10427194049183146,-0.14441610642400302,-0.21792733111387688,-0.0013083110040476506
CHOP_14_1_100,-0.004341368427829138,-0.006416593035492008,-0.008782661507814447,-0.012019783967456362,-0.01593750908834202,-0.012469377142416978
TRUERANGE_1,0.00457017747263909,0.005045213500612168,0.0016188727429006945,-0.004149238864859082,-0.015184652694316148,0.06168620761214072
