,fwd_rtn_1_real,fwd_rtn_5_real,fwd_rtn_10_real,fwd_rtn_20_real,fwd_rtn_50_real,fwd_rtn_10_abs
PPOs_12_26_9,-1.5601842513821518,-1.721543870053089,-2.107163153868064,-2.4258902522184003,-2.9087836145677923,-0.2699834479219249
BULLP_13,-2.758004891506442,-4.868019482649625,-5.2399229837951635,-5.054596752052243,-4.660751744228163,-0.23626562803628348
OHLC4,-3.633193926653139,-4.4834117422227875,-4.589122979046078,-4.440863915901524,-4.267656489227786,-0.05524483932680003
STOCHk_14_3_3,-3.2874304961442236,-4.232822033001442,-4.230960589948148,-4.290762123067085,-4.923312596987377,-0.5248931772700477
VTXM_14,2.6583282092052727,3.715123774144827,4.051830803899954,4.194843563276177,4.428146685554995,0.14199339459974894
ITS_9,-3.249284807569881,-4.039801106044447,-4.1847811998630355,-4.169253908902725,-4.134694671161518,-0.002950223649587916
SQZ_OFF,0.3180328741768607,0.2294569484820835,0.2457200197180817,0.30215423078475717,0.39346901082815,-0.0416227275694391
PDIST,0.2997681916532422,0.31850354520178675,0.053704366349987785,-0.24303584945945045,-0.4621992314060313,2.3993088674576
KURT_30,0.1583484290247809,-0.025629385092502042,-0.14490754974636488,-0.3795538967208511,-0.3019624746353522,1.3568709782661084
VWMA_10,-3.2834471334442736,-4.072708025462987,-4.235714904163679,-4.2114420463677735,-4.165142898648232,0.002440165665432693
MACDs_12_26_9,-1.8760946526028268,-2.294156093926298,-2.831563258675586,-3.0884958190449816,-2.513947777246419,-0.23600658139321912
RMA_10,-3.301113981782242,-4.045127161947286,-4.1230844510347975,-4.078362099119107,-4.076383223144883,0.02210303007964282
D_9_3,-2.878954881700431,-3.3692733648282363,-3.7630982662282904,-3.940232325045792,-4.499043428331715,-0.45216118573111325
SQZ_20_2.0_20_1.5,-2.3521694672568896,-2.7787774064150432,-3.455949955035298,-3.9426948368652286,-4.440855369636236,-0.37413982662666195
ZS_30,-3.039790594474302,-4.802390988931814,-5.044836624291999,-4.976164672231779,-4.576886084843712,-0.4915022786944802
VHF_28,0.2787637619196361,0.2918448336699936,0.24803363872365777,0.22649153986759088,0.31144046255999236,-0.0627223425181354
WMA_10,-3.403545475879631,-4.171876763262823,-4.305222205874965,-4.258922945271564,-4.192756114509298,-0.013626668376684069
PCTRET_1,-1.1616722904793177,-4.731162800524222,-5.5880488422780745,-5.646766539972416,-5.628114618559568,-0.9315879581656076
PVOs_12_26_9,0.051034519465991704,-0.09094602850878176,-0.15657913690476363,-0.1933037135717405,-0.25379977680947174,2.1204486259364637
ATRr_14_B_BIAS_SMA_26,-2.5612439146475747,-3.5334042185436862,-3.6804447000668588,-3.2525736297292536,-2.551805815133831,0.15350935772896726
PPOh_12_26_9,-1.5159205460843668,-1.834122690038181,-2.0193757724638304,-2.107378986022019,-2.5677929723976334,-0.37530763580316756
KSTs_9,-1.4210799871673228,-1.5346264294323972,-1.7975713108952103,-2.1707495352584996,-1.973559388969604,-0.23594251371218325
PSL_12,-2.844146068851467,-4.3416005187476685,-4.250936015463088,-4.110588485334797,-3.535761821556073,-0.4674708872821917
PVOh_12_26_9,0.6432892956806703,0.33419092423008223,0.14751597311492295,-0.010004510419002455,-0.2178855407165082,3.9632665824864426
QS_10,-2.729748221754068,-4.534179028079591,-4.866332074926609,-5.088954773132785,-5.232841667763292,-0.5575805331993317
COPC_11_14_10,-2.2902169742776244,-2.8326493937217507,-3.47755985428709,-3.8428334942952707,-4.4117490791229494,-0.3915372965099797
high_Z_30_1,-2.6678783419919094,-4.248456466282298,-4.786949134608203,-4.822418619299755,-4.563925018664441,-0.22004330087866844
ACCBM_20,-3.150261778188434,-3.9036243666709134,-3.979269730374092,-3.9557062810742782,-4.01878650894714,0.03849239132443064
DEC_1,1.0459635913050394,4.551788118287307,5.322014368448813,5.1965665584965715,5.023748477645063,0.944009925972509
STOCHRSId_14_14_3_3,-2.403130984342645,-3.0570724071410607,-2.9339271397065594,-2.549259793455324,-2.553415501551347,-0.5840602583466934
TRIX_30_9,-0.9300522552216963,-1.3139217439582636,-1.557132387906841,-1.6401640670098498,-1.5700555409591699,-0.06109529085578185
ER_10,0.3318506503627075,0.21886149175640016,0.21268768848074837,0.27390180507904005,0.34351700718820305,1.2377682646685482
TRIXs_30_9,-0.6890423626679313,-1.0086172691539936,-1.1640815523324024,-1.237321265902904,-1.3511740261313645,-0.015649399965546217
BIAS_SMA_26,-3.1033159419464584,-4.648949637666528,-4.837564693080545,-4.793543477504446,-4.7223733745629195,-0.517090105056763
ADX_14,0.6225478428383988,0.6787055337685772,0.6212671706759002,0.6160434480695167,0.7567415304305974,0.525652520669196
HL2,-3.5913525666967967,-4.4796152027265865,-4.5860271675016095,-4.437562470059914,-4.265181621899939,-0.05689901880982397
THERMO_20_2_0.5,0.29309562716944565,0.4456829707672814,0.272170970907033,-0.007842966205085424,-0.3064180259707991,3.172612122864923
ISB_26,-2.6342021584780464,-3.1207293774587637,-3.258132573289175,-3.370255351042769,-3.544052509664086,0.13737318275740137
STDEV_30,-0.03914960000280189,0.006308137043794131,0.007435270401307619,-0.005968763066402799,-0.11659926570258798,-0.8734771108711891
KCBe_20_2,-3.2919966244016328,-4.056044566573227,-4.130317916194762,-4.0877468491411655,-4.105625291746531,0.022586773176981895
IKS_26,-3.1196097875110547,-3.8858129713056706,-3.992402306858949,-3.9398351126110622,-3.99073457071862,0.059226901429050724
SLOPE_1,-1.1704532038547144,-4.740683650544025,-5.650819261007826,-5.711475272412798,-5.618867956127541,-0.8919505773713945
PWMA_10,-3.0679604661505886,-3.852630430142308,-4.042812547197606,-4.083035042560962,-4.091842846378867,0.010928718817623874
PPO_12_26_9,-1.983813535371706,-2.3069923785776933,-2.7887950522319986,-3.1249536876070785,-3.7921049545912617,-0.3218267671595604
AROONU_14,-2.4526791012118054,-3.3846470647169586,-3.55900417828966,-3.823621794359936,-4.189462174442542,0.3201874474422663
MACD_12_26_9,-2.5496210282885285,-3.213409932077953,-3.8097694449661232,-3.9792722302160297,-3.2343505603606295,-0.312051564524821
KVO_34_55_13,-3.176963639173102,-4.402966487074786,-4.297331742343038,-3.6734283367492844,-2.4804369558173898,-0.5222269047535801
WCP,-3.6930981651585633,-4.53026598407185,-4.623871416527937,-4.463046330738844,-4.279957737246926,-0.06391037629247838
MACDh_12_26_9,-2.9802716638722386,-3.849947983988643,-3.791721641773563,-3.484922934716688,-2.805416649691446,-0.6528475210714286
THERMOs_20_2_0.5,0.34013051147763446,0.5007724772468358,0.37296133757685224,0.1125375209942919,-0.08919060696145864,3.8230113487289814
ISA_9,-2.638258600812388,-3.12548226416295,-3.174281383138788,-3.2471807198370795,-3.556710293742365,0.126750256451283
K_9_3,-3.22964570550799,-4.432224786456248,-4.578915466519896,-4.539739773097272,-5.090633731221502,-0.5551162468631
AROONOSC_14,-2.458834308090648,-3.3110690019263287,-3.6708884116707416,-3.9849148497336135,-4.204090027678117,-0.4443901685532351
VTXP_14,-2.6037071778953615,-3.683347723861505,-3.978153054495711,-4.182449540237744,-4.325391616927171,-0.8148681658467825
FWMA_10,-3.580249689805823,-4.342564468022722,-4.460075241822919,-4.3640557543549825,-4.250312994159508,-0.03939467942082907
CHOP_14_1_100,-0.4242812262055971,-0.3139716484852196,-0.32686348392743003,-0.39358409977115055,-0.49574939062035517,-0.6689981928502232
TRUERANGE_1,0.3391688905628935,0.3466712562212873,0.0929874097160485,-0.20378872662815992,-0.4245236550845467,2.737744908133709
TSI_13_25_13,-2.4450947660299636,-3.1160143484352445,-3.701189928964932,-3.821106833733766,-2.9883355110109253,-0.3378585696036173
LDECAY_5,-3.760681611970166,-4.567014801420241,-4.649491195438772,-4.476547124530287,-4.28751878137462,-0.05394292595029438
MOM_10,-2.7316915691050796,-4.519238385281827,-4.830630186207863,-5.062566257847418,-5.2488455413293424,-0.5697282203485504
